
Nr., CODE, ENDGÜLTIGE BEZEICHNUNGEN DER MEDIZINISCHEN LEISTUNGEN
3386,X647419,ΠΛΗΡΗΣ ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΑΝΩΜΑΛΗΣ ΕΚΒΟΛΗΣ ΠΝΕΥΜΟΝΙΚΩΝ ΦΛΕΒΩΝ (ΥΠΕΡΚΑΡΔΙΑΚΟΣ ΕΝΔΟΚΑΡΔΙΑΚΟΣ Ή ΥΠΟΚΑΡΔΙΑΚΟΣ ΤΥΠΟΣ)
3387,X647423,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ  ΤΡΙΚΟΛΠΗΣ ΚΑΡΔΙΑΣ Ή ΥΠΕΡΒΑΛΒΙΔΙΚΟΥ ΔΑΚΤΥΛΙΟΥ ΤΗΣ ΜΙΤΡΟΕΙΔΟΥΣ ΒΑΛΒΙΔΟΣ ΜΕ ΕΚΤΟΜΗ ΤΗΣ ΜΕΜΒΡΑΝΗΣ ΣΤΟΝ ΑΡΙΣΤΕΡΟ ΚΟΛΠΟ
3388,X647429,ΕΚΤΟΜΗ Ή ΔΙΑΝΟΙΞΗ ΤΟΥ ΜΕΣΟΚΟΛΠΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ. ΚΛΕΙΣΤΗ ΚΑΡΔΙΑ (ΕΓΧΕΙΡΗΣΗ ΤΥΠΟΥ BLALOCK-HANLON)
3389,X647431,ΕΚΤΟΜΗ Ή ΔΙΑΝΟΙΞΗ ΤΟΥ ΜΕΣ ΚΟΛΠΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ. ΑΝΟΙΧΤΗ ΚΑΡΔΙΑ ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ
3390,X647433,ΕΚΤΟΜΗ Ή ΔΙΑΝΟΙΞΗ ΤΟΥ ΜΕΣΟΚΟΛΠΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ. ΑΝΟΙΧΤΗ ΚΑΡΔΙΑ ΜΕ ΑΠΟΚΛΕΙΣΜΟ ΦΛΕΒΙΚΗΣ ΕΠΙΣΤΡΟΦΗΣ
3391,X647459,ΤΟΠΟΘΕΤΗΣΗ ΠΑΡΑΚΑΜΨΗΣ (SHUNT)  ΜΕΤΑΞΥ ΥΠΟΚΛΕΙΔΙΑΣ ΚΑΙ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ (ΕΓΧΕΙΡΗΣΗ ΤΥΠΟΥ BLALOCK-TAUSSIG)
3392,X647469,ΤΟΠΟΘΕΤΗΣΗ ΠΑΡΑΚΑΜΨΗΣ( SHUNT)  ΜΕΤΑΞΥ ΑΝΙΟΥΣΗΣ ΑΟΡΤΗΣ ΚΑΙ  ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ (ΕΓΧΕΙΡΗΣΗ ΤΥΠΟΥ WATERSTON)
3393,X647483,ΤΟΠΟΘΕΤΗΣΗ ΠΑΡΑΚΑΜΨΗΣ (SHUNT) ΜΕΤΑΞΥ ΚΑΤΙΟΥΣΗΣ ΑΟΡΤΗΣ ΚΑΙ  ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ (ΕΓΧΕΙΡΗΣΗ ΤΥΠΟΥ POTTS-SMITH)
3394,X647487,ΤΟΠΟΘΕΤΗΣΗ ΚΕΝΤΡΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ (SHUNT)  ΜΕ ΠΡΟΣΘΕΤΙΚΟ ΜΟΣΧΕΥΜΑ
3395,X647491,ΤΟΠΟΘΕΤΗΣΗ ΠΑΡΑΚΑΜΨΗΣ (SHUNT)  ΜΕΤΑΞΥ ΑΝΩ ΚΟΙΛΗΣ ΦΛΕΒΑΣ ΚΑΙ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ ΓΙΑ ΑΙΜΑΤΩΣΗ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ (ΚΛΑΣΙΚΗ ΕΠΕΜΒΑΣΗ GLENN)
3396,X647493,ΤΟΠΟΘΕΤΗΣΗ ΠΑΡΑΚΑΜΨΗΣ (SHUNT) ΜΕΤΑΞΥ ΑΝΩ ΚΟΙΛΗΣ ΦΛΕΒΑΣ ΚΑΙ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ  ΓΙΑ ΑΙΜΑΤΩΣΗ ΚΑΙ ΣΤΟΥΣ ΔΥΟ ΠΝΕΥΜΟΝΕΣ (ΑΜΦΟΔΡΟΜΗ ΕΠΕΜΒΑΣΗ GLENN)
3397,X647495,ΑΝΑΣΤΟΜΩΣΗ ΚΟΙΛΗΣ ΦΛΕΒΑΣ-ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ  ΜΕ ΤΗ ΔΕΥΤΕΡΗ ΑΝΩ ΠΝΕΥΜΟΝΙΚΗ ΦΛΕΒΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΗ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
3398,X647499,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΜΕΤΑΘΕΣΗΣ ΤΩΝ ΜΕΓΑΛΩΝ ΑΡΤΗΡΙΩΝ ΜΕ ΜΕΣΟΚΟΙΛΙΑΚΗ ΕΠΙΚΟΙΝΩΝΙΑ  ΚΑΙ ΥΠΟΒΑΛΒΙΔΙΚΗ ΣΤΕΝΩΣΗ ΤΗΣ ΠΝΕΥΜΟΝΙΚΗΣ ΒΑΛΒΙΔΑΣ. ΧΩΡΙΣ ΧΕΙΡΟΥΡΓΙΚΗ  ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΜΕΣΟΚΟΙΛΙΑΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ
3399,X647501,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΜΕΤΑΘΕΣΗΣ ΤΩΝ ΜΕΓΑΛΩΝ ΑΡΤΗΡΙΩΝ ΜΕ  ΜΕΣΟΚΟΙΛΙΑΚΗ ΕΠΙΚΟΙΝΩΝΙΑ  ΚΑΙ ΥΠΟΒΑΛΒΙΔΙΚΗ ΣΤΕΝΩΣΗ ΤΗΣ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ. ΜΕ ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΕΥΡΥΝΣΗΣ ΤΗΣ ΜΕΣΟΚΟΙΛΙΑΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ
3400,X647507,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ  ΤΩΝ ΜΕΓΑΛΩΝ ΑΡΤΗΡΙΩΝ ΧΕΙΡΟΥΡΓΙΚΗ ΑΝΑΚΑΤΑΣΚΕΥΗ ΤΟΥ ΜΕΣΟΚΟΛΠΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ (Π.Χ. ΤΥΠΟΣ MUSTARD Ή SENNING) ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ
3401,X647509,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ  ΤΩΝ ΜΕΓΑΛΩΝ ΑΡΤΗΡΙΩΝ ΜΕ ΑΝΑΚΑΤΑΣΚΕΥΗ ΤΟΥ ΜΕΣΟΚΟΛΠΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ (Π.Χ. ΤΥΠΟΣ MUSTARD Ή SENNING) ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ. ΜΕ ΑΦΑΙΡΕΣΗ  ΤΗΣ ΑΤΕΛΟΥΣ ΠΕΡΙΣΦΙΞΗΣ ΤΗΣ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ
3402,X647511,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ  ΤΩΝ ΜΕΓΑΛΩΝ ΑΡΤΗΡΙΩΝ ΜΕ ΑΝΑΚΑΤΑΣΚΕΥΗ ΤΟΥ ΜΕΣΟΚΟΛΠΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ (Π.Χ. ΤΥΠΟΣ MUSTARD Ή SENNING) ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ. ΜΕ ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΓΚΛΕΙΣΗ ΤΗΣ ΜΕΣΟΚΟΙΛΙΑΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ
3403,X647513,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ  ΤΩΝ ΜΕΓΑΛΩΝ ΑΡΤΗΡΙΩΝ ΜΕ ΑΝΑΚΑΤΑΣΚΕΥΗ ΤΟΥ ΜΕΣΟΚΟΛΠΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ (Π.Χ. ΤΥΠΟΣ MUSTARD Ή SENNING) ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ. ΜΕ ΔΙΟΡΘΩΣΗ ΤΗΣ ΥΠΟΒΑΛΒΙΔΙΚΗΣ ΑΠΟΦΡΑΞΗΣ ΤΗΣ ΠΝΕΥΜΟΝΙΚΗΣ ΒΑΛΒΙΔΟΣ
3404,X647515,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ ΤΩΝ ΜΕΓΑΛΩΝ ΑΡΤΗΡΙΩΝ ΜΕ ΑΝΤΙΜΕΤΑΘΕΣΗ ΑΟΡΤΗΣ ΚΑΙ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ (ΕΠΕΜΒΑΣΗ  JATENE)
3405,X647517,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ ΤΩΝ ΜΕΓΑΛΩΝ ΑΡΤΗΡΙΩΝ ΜΕ ΑΝΤΙΜΕΤΑΘΕΣΗ ΑΟΡΤΗΣ ΚΑΙ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ (ΕΠΕΜΒΑΣΗ  JATENE)  ΜΕ ΑΦΑΙΡΕΣΗ ΤΗΣ ΑΤΕΛΟΥΣ ΠΕΡΙΣΦΙΞΗΣ ΤΗΣ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ
3406,X647519,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ ΤΩΝ ΜΕΓΑΛΩΝ ΑΡΤΗΡΙΩΝ ΜΕ ΑΝΤΙΜΕΤΑΘΕΣΗ ΑΟΡΤΗΣ ΚΑΙ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ (ΕΠΕΜΒΑΣΗ  JATENE)   ΜΕ ΣΥΓΚΛΕΙΣΗ ΤΗΣ ΜΕΣΟΚΟΙΛΙΑΚΗΣ  ΕΠΙΚΟΙΝΩΝΙΑΣ
3407,X647521,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ ΤΩΝ ΜΕΓΑΛΩΝ ΑΡΤΗΡΙΩΝ ΜΕ ΑΝΤΙΜΕΤΑΘΕΣΗ ΑΟΡΤΗΣ ΚΑΙ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ (ΕΠΕΜΒΑΣΗ  JATENE) ΜΕ ΑΠΟΚΑΤΑΣΤΑΣΗ ΤΗΣ ΥΠΟΒΑΛΒΙΔΙΚΗΣ ΑΠΟΦΡΑΞΗΣ ΤΗΣ ΠΝΕΥΜΟΝΙΚΗΣ   ΑΡΤΗΡΙΑΣ
3408,X647531,ΠΛΗΡΗΣ ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ  ΑΡΤΗΡΙΑΚΟΣ ΠΟΡΟΣ (ΕΓΧΕΙΡΗΣΗ ΤΥΠΟΥ RASTELLI)
3409,X647535,ΕΠΑΝΕΜΦΥΤΕΥΣΗ  ΑΝΩΜΑΛΗΣ  ΕΚΦΥΣΗΣ ΠΝΕΥΜΟΝΙΚΗΣ  ΑΡΤΗΡΙΑΣ
3410,X647559,ΑΟΡΤΙΚΗ ΑΝΟΡΘΩΣΗ ΓΙΑ ΑΠΟΣΥΜΠΙΕΣΗ ΤΗΣ ΤΡΑΧΕΙΑΣ (Π.Χ. ΓΙΑ ΤΡΑΧΕΙΟΜΑΛΑΚΙΑ) (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ)
3411,X647563,ΔΙΑΙΡΕΣΗ ΕΚΤΟΠΟΥ ΑΓΓΕΙΟΥ (ΑΓΓΕΙΑΚΟΣ ΔΑΚΤΥΛΙΟΣ).
3412,X647565,ΔΙΑΙΡΕΣΗ ΕΚΤΟΠΟΥ ΑΓΓΕΙΟΥ(ΑΓΓΕΙΑΚΟΣ ΔΑΚΤΥΛΙΟΣ). ΜΕ ΕΠΑΝΑΝΑΣΤΟΜΩΣΗ
3413,X647585,ΣΥΓΚΛΕΙΣΗ ΑΟΡΤΟΠΝΕΥΜΟΝΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΙΚΟΥ ΕΛΕΙΜΑΤΟΣ . ΧΩΡΙΣ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ
3414,X647587,ΣΥΓΚΛΕΙΣΗ ΑΟΡΤΟΠΝΕΥΜΟΝΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΙΚΟΥ ΕΛΕΙΜΑΤΟΣ. ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ
3415,X647599,ΧΕΙΡΟΥΡΓΙΚΗ ΑΠΟΛΙΝΩΣΗ  ΑΝΟΙΚΤΟΥ ΑΡΤΗΡΙΑΚΟΥ ΠΟΡΟΥ.
3416,X647603,ΔΙΑΤΟΜΗ  ΑΝΟΙΚΤΟΥ ΑΡΤΗΡΙΑΚΟΥ ΠΟΡΟΥ. ΓΙΑ ΑΣΘΕΝΕΙΣ ΚΑΤΩ ΤΩΝ 18 ΕΤΩΝ
3417,X647607,ΔΙΑΤΟΜΗ  ΑΝΟΙΚΤΟΥ ΑΡΤΗΡΙΑΚΟΥ ΠΟΡΟΥ   ΓΙΑ ΑΣΘΕΝΕΙΣ 18 ΕΤΩΝ ΚΑΙ ΑΝΩ
3418,X647639,ΕΚΤΟΜΗ ΣΤΕΝΩΣΗΣ ΙΣΘΜΟΥ ΑΟΡΤΗΣ ΜΕ Ή ΧΩΡΙΣ ΣΥΝΟΔΟ  ΑΝΟΙΚΤΟ  ΑΡΤΗΡΙΑΚΟ ΠΟΡΟ ΜΕ ΤΕΛΙΚΟΤΕΛΙΚΗ  ΑΝΑΣΤΟΜΩΣΗ
3419,X647649,ΕΚΤΟΜΗ ΣΤΕΝΩΣΗΣ ΙΣΘΜΟΥ ΑΟΡΤΗΣ ΜΕ Ή ΧΩΡΙΣ ΣΥΝΟΔΟ ΑΝΟΙΚΤΟ  ΑΡΤΗΡΙΑΚΟ ΠΟΡΟ ΜΕ ΤΟΠΟΘΕΤΗΣΗ ΜΟΣΧΕΥΜΑΤΟΣ
3420,X647661,ΕΚΤΟΜΗ ΣΤΕΝΩΣΗΣ ΙΣΘΜΟΥ ΑΟΡΤΗΣ ΜΕ Ή ΧΩΡΙΣ ΣΥΝΟΔΟ  ΑΝΟΙΚΤΟ  ΑΡΤΗΡΙΑΚΟ ΠΟΡΟ ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΜΕ ΤΗ ΧΡΗΣΗ ΤΗΣ ΑΡΙΣΤΕΡΗΣ ΥΠΟΚΛΕΙΔΙΑΣ ΑΡΤΗΡΙΑΣ Ή ΠΡΟΣΘΕΤΙΚΟΥ ΥΛΙΚΟΥ ΟΠΩΣ GUSSET ΓΙΑ ΔΙΕΥΡΥΝΣΗ
3421,X647663,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΥΠΟΠΛΑΣΤΙΚΟΥ Ή ΔΙΑΚΕΚΟΜΜΕΝΟΥ ΑΟΡΤΙΚΟΥ ΤΟΞΟΥ ΜΕ ΤΗ ΧΡΗΣΗ ΑΥΤΟΛΟΓΟΥ Ή ΠΡΟΣΘΕΤΙΚΟΥ ΥΛΙΚΟΥ. ΧΩΡΙΣ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ
3422,X647665,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΥΠΟΠΛΑΣΤΙΚΟΥ Ή ΔΙΑΚΕΚΟΜΜΕΝΟΥ ΑΟΡΤΙΚΟΥ ΤΟΞΟΥ ΜΕ ΤΗ ΧΡΗΣΗ ΑΥΤΟΛΟΓΟΥ Ή ΠΡΟΣΘΕΤΙΚΟΥ ΥΛΙΚΟΥ. ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ
3423,X647679,ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΜΕ ΜΟΣΧΕΥΜΑ ΤΗΣ ΑΝΙΟΥΣΑΣ ΑΟΡΤΗΣ ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ ΜΕ Ή ΧΩΡΙΣ ΔΙΑΤΗΡΗΣΗ ΒΑΛΒΙΔΑΣ.
3424,X647681,ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΜΕ ΜΟΣΧΕΥΜΑ ΑΝΙΟΥΣΑΣ ΑΟΡΤΗΣ ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ ΜΕ Ή ΧΩΡΙΣ ΔΙΑΤΗΡΗΣΗ ΒΑΛΒΙΔΑΣ. ΜΕ ΑΟΡΤΟΣΤΕΦΑΝΙΑΙΑ ΠΑΡΑΚΑΜΨΗ
3425,X647685,ΜΟΣΧΕΥΜΑ ΑΝΙΟΥΣΑΣ ΑΟΡΤΗΣ ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ ΜΕ Ή ΧΩΡΙΣ ΑΝΑΡΤΗΣΗ ΒΑΛΒΙΔΑΣ. ΜΕ ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΤΗΣ ΑΟΡΤΙΚΗΣ ΡΙΖΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΒΑΛΒΙΔΟΦΟΡΟΥ ΠΡΟΣΘΕΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΕΠΑΝΕΜΦΥΤΕΥΣΗ ΤΩΝ ΣΤΕΦΑΝΙΑΙΩΝ (ΕΓΧΕΙΡΗΣΗ BENTALL)
3426,X647687,ΜΟΣΧΕΥΜΑ ΑΝΙΟΥΣΑΣ ΑΟΡΤΗΣ ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ ΜΕ ΔΙΑΤΗΡΗΣΗ ΒΑΛΒΙΔΑΣ ΜΕ ΣΤΕΦΑΝΙΑΙΑ ΑΝΑΚΑΤΑΣΚΕΥΗ ΚΑΙ ΑΝΑΔΙΑΜΟΡΦΩΣΗ ΤΟΥ ΔΑΚΤΥΛΙΟΥ ΤΗΣ  ΡΙΖΑΣ ΤΗΣ ΑΟΡΤΗΣ ΜΕ ΔΙΑΤΗΡΗΣΗ ΤΗΣ ΒΑΛΒΙΔΑΣ (Π.Χ. ΔΙΑΔΙΚΑΣΙΑ DAVID ΔΙΑΔΙΚΑΣΙΑ YACOUB)
3427,X647699,ΕΓΚΑΡΣΙΟ ΜΟΣΧΕΥΜΑ ΑΟΡΤΙΚΟΥ ΤΟΞΟΥ ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ
3428,X647709,ΜΟΣΧΕΥΜΑ ΚΑΤΙΟΥΣΑΣ ΘΩΡΑΚΙΚΗΣ ΑΟΡΤΗΣ ΜΕ Ή ΧΩΡΙΣ ΠΑΡΑΚΑΜΨΗ
3429,X647713,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΘΩΡΑΚΟΚΟΙΛΙΑΚΟΥ ΑΟΡΤΙΚΟΥ ΑΝΕΥΡΥΣΜΑΤΟΣ ΜΕ ΜΟΣΧΕΥΜΑ ΜΕ Ή ΧΩΡΙΣ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ
3430,X647719,ΕΝΔΑΓΓΕΙΑΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΚΑΤΙΟΥΣΑΣ ΘΩΡΑΚΙΚΗΣ ΑΟΡΤΗΣ (Π.Χ. ΑΝΕΥΡΥΣΜΑ ΨΕΥΔΟΑΝΕΥΡΥΣΜΑ ΔΙΑXΩΡΙΣΜΟΣ ΔΙΑΤΙΤΡΑΙΝΩΝ ΕΛΚΟΣ ΕΝΔΟΤΟΙΧΩΜΑΤΙΚΟ ΑΙΜΑΤΩΜΑ Ή ΤΡΑΥΜΑΤΙΚΗ ΡΗΞΗ). ΠΕΡΙΛΑΜΒΑΝΕΙ ΚΑΛΥΨΗ ΤΗΣ ΕΚΦΥΣΗΣ ΤΗΣ ΑΡΙΣΤΕΡΗΣ ΥΠΟΚΛΕΙΔΙΑΣ ΑΡΤΗΡΙΑΣ ΑΡΧΙΚΗ ΕΝΔΟΠΡΟΘΕΣΗ ΚΑΙ ΕΠΕΚΤΑΣΗ(-ΕΙΣ) ΚΑΤΙΟΥΣΑΣ ΘΩΡΑΚΙΚΗΣ ΑΟΡΤΗΣ ΑΝ ΑΠΑΙΤΕΙΤΑΙ ΕΩΣ ΤΟ ΕΠΙΠΕΔΟ ΕΚΦΥΣΗΣ ΤΗΣ ΚΟΙΛΙΑΚΗΣ ΑΡΤΗΡΙΑΣ
3431,X647721,ΕΝΔΑΓΓΕΙΑΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΚΑΤΙΟΥΣΑΣ ΘΩΡΑΚΙΚΗΣ ΑΟΡΤΗΣ (Π.Χ. ΑΝΕΥΡΥΣΜΑ ΨΕΥΔΟΑΝΕΥΡΥΣΜΑ ΔΙΑXΩΡΙΣΜΟΣ ΔΙΑΤΙΤΡΑΙΝΩΝ ΕΛΚΟΣ ΕΝΔΟΤΟΙΧΩΜΑΤΙΚΟ ΑΙΜΑΤΩΜΑ Ή ΤΡΑΥΜΑΤΙΚΗ ΡΗΞΗ). ΔΕΝ ΠΕΡΙΛΑΜΒΑΝΕΙ ΚΑΛΥΨΗ ΤΗΣΕΚΦΥΣΗΣ ΤΗΣ ΑΡΙΣΤΕΡΗΣ ΥΠΟΚΛΕΙΔΙΑΣ ΑΡΤΗΡΙΑΣ ΑΡΧΙΚΗ ΕΝΔΟΠΡΟΘΕΣΗ ΚΑΙ ΕΠΕΚΤΑΣΗ(-ΕΙΣ) ΚΑΤΙΟΥΣΑΣ ΘΩΡΑΚΙΚΗΣ ΑΟΡΤΗΣ ΕΑΝ ΑΠΑΙΤΕΙΤΑΙ ΕΩΣ ΤΟ ΕΠΙΠΕΔΟ ΕΚΦΥΣΗΣ ΤΗΣ ΚΟΙΛΙΑΚΗΣ ΑΡΤΗΡΙΑΣ
3432,X647725,ΤΟΠΟΘΕΤΗΣΗ ΠΡΟΘΕΣΗΣ ΕΠΕΚΤΑΣΗΣ ΣΤΟ ΚΕΝΤΡΙΚΟ ΤΜΗΜΑ ΓΙΑ ΕΝΔΑΓΓΕΙΑΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΤΗΣ ΚΑΤΙΟΥΣΑΣ ΘΩΡΑΚΙΚΗΣ ΑΟΡΤΗΣ (Π.Χ. ΑΝΕΥΡΥΣΜΑ ΨΕΥΔΟΑΝΕΥΡΥΣΜΑ ΔΙΑΧΩΡΙΣΜΟΣ  ΔΙΑΤΙΤΡΑΙΝΩΝ ΕΛΚΟΣ ΕΝΔΟΤΟΙΧΩΜΑΤΙΚΟ ΑΙΜΑΤΩΜΑ Ή ΤΡΑΥΜΑΤΙΚΗ ΡΗΞΗ). ΑΡΧΙΚΗ ΕΠΙΜΗΚΥΝΣΗ
3433,X647727,ΤΟΠΟΘΕΤΗΣΗ ΠΡΟΘΕΣΗΣ ΣΤΟ ΚΕΝΤΡΙΚΟ ΤΜΗΜΑ ΓΙΑ ΕΝΔΑΓΓΕΙΑΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΤΗΣ ΚΑΤΙΟΥΣΑΣ ΘΩΡΑΚΙΚΗΣ ΑΟΡΤΗΣ (Π.Χ. ΑΝΕΥΡΥΣΜΑ ΨΕΥΔΟΑΝΕΥΡΥΣΜΑ ΔΙΑΧΩΡΙΣΜΟΣ  ΔΙΑΤΙΤΡΑΙΝΩΝ ΕΛΚΟΣ ΕΝΔΟΤΟΙΧΩΜΑΤΙΚΟ ΑΙΜΑΤΩΜΑ Ή ΤΡΑΥΜΑΤΙΚΗ ΡΗΞΗ). ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΚΕΝΤΡΙΚΗ  ΕΠΕΚΤΑΣΗ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
3434,X647731,ΤΟΠΟΘΕΤΗΣΗ ΠΕΡΙΦΕΡΙΚΗΣ ΠΡΟΣΘΕΤΙΚΗΣ ΕΠΕΚΤΑΣΗΣ ΣΕ ΔΕΥΤΕΡΟ ΧΡΟΝΟ ΜΕΤΑ ΑΠΟ ΕΝΔΑΓΓΕΙΑΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΚΑΤΙΟΥΣΑΣ ΘΩΡΑΚΙΚΗΣ ΑΟΡΤΗΣ
3435,X647737,ΑΝΟΙΚΤΗ ΜΕΤΑΘΕΣΗ  ΑΠΟ  ΥΠΟΚΛΕΙΔΙΑ ΣΤΗΝ ΚΑΡΩΤΙΔΙΚΗ ΑΡΤΗΡΙΑ ΕΚΤΕΛΟΥΜΕΝΗ ΣΕ ΣΥΝΔΥΑΣΜΟ ΜΕ ΕΝΔΑΓΓΕΙΑΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΚΑΤΙΟΥΣΑΣ ΘΩΡΑΚΙΚΗΣ ΑΟΡΤΗΣ ΜΕ ΤΡΑΧΗΛΙΚΗ ΤΟΜΗ ΕΤΕΡΟΠΛΕΥΡΗ
